"year","zone","indicator","measure","value"
"2009","S01001795","Number Vaccinated Against MMR By 5 Years","Count",3
"2010","S01001795","Number Vaccinated Against MMR By 5 Years","Count",9
"2012","S01001795","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2010","S01001795","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2013","S01001795","Percentage Vaccinated Against Mmr By 5 Years","Ratio","87.5"
"2011","S01001795","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001795","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2009","S01001795","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001796","Number In 5 Year Cohort","Count",10
"2009","S01001796","Number In 5 Year Cohort","Count",8
"2010","S01001796","Number In 5 Year Cohort","Count",10
"2011","S01001796","Number In 5 Year Cohort","Count",9
"2012","S01001796","Number In 5 Year Cohort","Count",11
"2013","S01001796","Number In 5 Year Cohort","Count",4
"2013","S01001796","Number Vaccinated Against MMR By 5 Years","Count",4
"2008","S01001796","Number Vaccinated Against MMR By 5 Years","Count",8
"2011","S01001796","Number Vaccinated Against MMR By 5 Years","Count",9
"2012","S01001796","Number Vaccinated Against MMR By 5 Years","Count",11
"2009","S01001796","Number Vaccinated Against MMR By 5 Years","Count",7
"2010","S01001796","Number Vaccinated Against MMR By 5 Years","Count",10
"2012","S01001796","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2010","S01001796","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2013","S01001796","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2011","S01001796","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001796","Percentage Vaccinated Against Mmr By 5 Years","Ratio",80
"2009","S01001796","Percentage Vaccinated Against Mmr By 5 Years","Ratio","87.5"
"2008","S01001797","Number In 5 Year Cohort","Count",3
"2009","S01001797","Number In 5 Year Cohort","Count",3
"2010","S01001797","Number In 5 Year Cohort","Count",5
"2011","S01001797","Number In 5 Year Cohort","Count",6
"2012","S01001797","Number In 5 Year Cohort","Count",5
"2013","S01001797","Number In 5 Year Cohort","Count",11
"2013","S01001797","Number Vaccinated Against MMR By 5 Years","Count",10
"2008","S01001797","Number Vaccinated Against MMR By 5 Years","Count",3
"2011","S01001797","Number Vaccinated Against MMR By 5 Years","Count",6
"2012","S01001797","Number Vaccinated Against MMR By 5 Years","Count",5
"2009","S01001797","Number Vaccinated Against MMR By 5 Years","Count",3
"2010","S01001797","Number Vaccinated Against MMR By 5 Years","Count",5
"2012","S01001797","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2010","S01001797","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2013","S01001797","Percentage Vaccinated Against Mmr By 5 Years","Ratio","90.9"
"2011","S01001797","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001797","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2009","S01001797","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001798","Number In 5 Year Cohort","Count",6
"2009","S01001798","Number In 5 Year Cohort","Count",8
"2010","S01001798","Number In 5 Year Cohort","Count",3
"2011","S01001798","Number In 5 Year Cohort","Count",7
"2012","S01001798","Number In 5 Year Cohort","Count",5
"2013","S01001798","Number In 5 Year Cohort","Count",6
"2013","S01001798","Number Vaccinated Against MMR By 5 Years","Count",6
"2008","S01001798","Number Vaccinated Against MMR By 5 Years","Count",6
"2011","S01001798","Number Vaccinated Against MMR By 5 Years","Count",7
"2012","S01001798","Number Vaccinated Against MMR By 5 Years","Count",5
"2009","S01001798","Number Vaccinated Against MMR By 5 Years","Count",7
"2010","S01001798","Number Vaccinated Against MMR By 5 Years","Count",3
"2012","S01001798","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2010","S01001798","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2013","S01001798","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2011","S01001798","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001798","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2009","S01001798","Percentage Vaccinated Against Mmr By 5 Years","Ratio","87.5"
"2008","S01001799","Number In 5 Year Cohort","Count",13
"2009","S01001799","Number In 5 Year Cohort","Count",17
"2010","S01001799","Number In 5 Year Cohort","Count",13
"2011","S01001799","Number In 5 Year Cohort","Count",12
"2012","S01001799","Number In 5 Year Cohort","Count",17
"2013","S01001799","Number In 5 Year Cohort","Count",19
"2013","S01001799","Number Vaccinated Against MMR By 5 Years","Count",18
"2008","S01001799","Number Vaccinated Against MMR By 5 Years","Count",13
"2011","S01001799","Number Vaccinated Against MMR By 5 Years","Count",12
"2012","S01001799","Number Vaccinated Against MMR By 5 Years","Count",16
"2009","S01001799","Number Vaccinated Against MMR By 5 Years","Count",17
"2010","S01001799","Number Vaccinated Against MMR By 5 Years","Count",12
"2012","S01001799","Percentage Vaccinated Against Mmr By 5 Years","Ratio","94.1"
"2010","S01001799","Percentage Vaccinated Against Mmr By 5 Years","Ratio","92.3"
"2013","S01001799","Percentage Vaccinated Against Mmr By 5 Years","Ratio","94.7"
"2011","S01001799","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001799","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2009","S01001799","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001800","Number In 5 Year Cohort","Count",5
"2009","S01001800","Number In 5 Year Cohort","Count",11
"2010","S01001800","Number In 5 Year Cohort","Count",11
"2011","S01001800","Number In 5 Year Cohort","Count",13
"2012","S01001800","Number In 5 Year Cohort","Count",11
"2013","S01001800","Number In 5 Year Cohort","Count",7
"2013","S01001800","Number Vaccinated Against MMR By 5 Years","Count",7
"2008","S01001800","Number Vaccinated Against MMR By 5 Years","Count",5
"2011","S01001800","Number Vaccinated Against MMR By 5 Years","Count",13
"2012","S01001800","Number Vaccinated Against MMR By 5 Years","Count",11
"2009","S01001800","Number Vaccinated Against MMR By 5 Years","Count",11
"2010","S01001800","Number Vaccinated Against MMR By 5 Years","Count",10
"2012","S01001800","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2010","S01001800","Percentage Vaccinated Against Mmr By 5 Years","Ratio","90.9"
"2013","S01001800","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2011","S01001800","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001800","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2009","S01001800","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001801","Number In 5 Year Cohort","Count",13
"2009","S01001801","Number In 5 Year Cohort","Count",7
"2010","S01001801","Number In 5 Year Cohort","Count",11
"2011","S01001801","Number In 5 Year Cohort","Count",6
"2012","S01001801","Number In 5 Year Cohort","Count",9
"2013","S01001801","Number In 5 Year Cohort","Count",18
"2013","S01001801","Number Vaccinated Against MMR By 5 Years","Count",18
"2008","S01001801","Number Vaccinated Against MMR By 5 Years","Count",11
"2011","S01001801","Number Vaccinated Against MMR By 5 Years","Count",6
"2012","S01001801","Number Vaccinated Against MMR By 5 Years","Count",9
"2009","S01001801","Number Vaccinated Against MMR By 5 Years","Count",7
"2010","S01001801","Number Vaccinated Against MMR By 5 Years","Count",10
"2012","S01001801","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2010","S01001801","Percentage Vaccinated Against Mmr By 5 Years","Ratio","90.9"
"2013","S01001801","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2011","S01001801","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001801","Percentage Vaccinated Against Mmr By 5 Years","Ratio","84.6"
"2009","S01001801","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001802","Number In 5 Year Cohort","Count",10
"2009","S01001802","Number In 5 Year Cohort","Count",8
"2010","S01001802","Number In 5 Year Cohort","Count",12
"2011","S01001802","Number In 5 Year Cohort","Count",10
"2012","S01001802","Number In 5 Year Cohort","Count",8
"2013","S01001802","Number In 5 Year Cohort","Count",10
"2013","S01001802","Number Vaccinated Against MMR By 5 Years","Count",9
"2008","S01001802","Number Vaccinated Against MMR By 5 Years","Count",10
"2011","S01001802","Number Vaccinated Against MMR By 5 Years","Count",9
"2012","S01001802","Number Vaccinated Against MMR By 5 Years","Count",7
"2009","S01001802","Number Vaccinated Against MMR By 5 Years","Count",7
"2010","S01001802","Number Vaccinated Against MMR By 5 Years","Count",11
"2012","S01001802","Percentage Vaccinated Against Mmr By 5 Years","Ratio","87.5"
"2010","S01001802","Percentage Vaccinated Against Mmr By 5 Years","Ratio","91.7"
"2013","S01001802","Percentage Vaccinated Against Mmr By 5 Years","Ratio",90
"2011","S01001802","Percentage Vaccinated Against Mmr By 5 Years","Ratio",90
"2008","S01001802","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2009","S01001802","Percentage Vaccinated Against Mmr By 5 Years","Ratio","87.5"
"2008","S01001803","Number In 5 Year Cohort","Count",11
"2009","S01001803","Number In 5 Year Cohort","Count",15
"2010","S01001803","Number In 5 Year Cohort","Count",11
"2011","S01001803","Number In 5 Year Cohort","Count",10
"2012","S01001803","Number In 5 Year Cohort","Count",17
"2013","S01001803","Number In 5 Year Cohort","Count",12
"2013","S01001803","Number Vaccinated Against MMR By 5 Years","Count",12
"2008","S01001803","Number Vaccinated Against MMR By 5 Years","Count",10
"2011","S01001803","Number Vaccinated Against MMR By 5 Years","Count",10
"2012","S01001803","Number Vaccinated Against MMR By 5 Years","Count",16
"2009","S01001803","Number Vaccinated Against MMR By 5 Years","Count",15
"2010","S01001803","Number Vaccinated Against MMR By 5 Years","Count",11
"2012","S01001803","Percentage Vaccinated Against Mmr By 5 Years","Ratio","94.1"
"2010","S01001803","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2013","S01001803","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2011","S01001803","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001803","Percentage Vaccinated Against Mmr By 5 Years","Ratio","90.9"
"2009","S01001803","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001804","Number In 5 Year Cohort","Count",10
"2009","S01001804","Number In 5 Year Cohort","Count",6
"2010","S01001804","Number In 5 Year Cohort","Count",11
"2011","S01001804","Number In 5 Year Cohort","Count",1
"2012","S01001804","Number In 5 Year Cohort","Count",7
"2013","S01001804","Number In 5 Year Cohort","Count",11
"2013","S01001804","Number Vaccinated Against MMR By 5 Years","Count",11
"2008","S01001804","Number Vaccinated Against MMR By 5 Years","Count",9
"2011","S01001804","Number Vaccinated Against MMR By 5 Years","Count",1
"2012","S01001804","Number Vaccinated Against MMR By 5 Years","Count",7
"2009","S01001804","Number Vaccinated Against MMR By 5 Years","Count",6
"2010","S01001804","Number Vaccinated Against MMR By 5 Years","Count",11
"2012","S01001804","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2010","S01001804","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2013","S01001804","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2011","S01001804","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001804","Percentage Vaccinated Against Mmr By 5 Years","Ratio",90
"2009","S01001804","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001805","Number In 5 Year Cohort","Count",5
"2009","S01001805","Number In 5 Year Cohort","Count",10
"2010","S01001805","Number In 5 Year Cohort","Count",7
"2011","S01001805","Number In 5 Year Cohort","Count",8
"2012","S01001805","Number In 5 Year Cohort","Count",9
"2013","S01001805","Number In 5 Year Cohort","Count",14
"2013","S01001805","Number Vaccinated Against MMR By 5 Years","Count",14
"2008","S01001805","Number Vaccinated Against MMR By 5 Years","Count",5
"2011","S01001805","Number Vaccinated Against MMR By 5 Years","Count",7
"2012","S01001805","Number Vaccinated Against MMR By 5 Years","Count",9
"2009","S01001805","Number Vaccinated Against MMR By 5 Years","Count",8
"2010","S01001805","Number Vaccinated Against MMR By 5 Years","Count",7
"2012","S01001805","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2010","S01001805","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2013","S01001805","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2011","S01001805","Percentage Vaccinated Against Mmr By 5 Years","Ratio","87.5"
"2008","S01001805","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2009","S01001805","Percentage Vaccinated Against Mmr By 5 Years","Ratio",80
"2008","S01001806","Number In 5 Year Cohort","Count",5
"2009","S01001806","Number In 5 Year Cohort","Count",7
"2010","S01001806","Number In 5 Year Cohort","Count",6
"2011","S01001806","Number In 5 Year Cohort","Count",5
"2012","S01001806","Number In 5 Year Cohort","Count",4
"2013","S01001806","Number In 5 Year Cohort","Count",5
"2013","S01001806","Number Vaccinated Against MMR By 5 Years","Count",5
"2008","S01001806","Number Vaccinated Against MMR By 5 Years","Count",5
"2011","S01001806","Number Vaccinated Against MMR By 5 Years","Count",3
"2012","S01001806","Number Vaccinated Against MMR By 5 Years","Count",4
"2009","S01001806","Number Vaccinated Against MMR By 5 Years","Count",6
"2010","S01001806","Number Vaccinated Against MMR By 5 Years","Count",6
"2012","S01001806","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2010","S01001806","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2013","S01001806","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2011","S01001806","Percentage Vaccinated Against Mmr By 5 Years","Ratio",60
"2008","S01001806","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2009","S01001806","Percentage Vaccinated Against Mmr By 5 Years","Ratio","85.7"
"2008","S01001807","Number In 5 Year Cohort","Count",8
"2009","S01001807","Number In 5 Year Cohort","Count",5
"2010","S01001807","Number In 5 Year Cohort","Count",9
"2011","S01001807","Number In 5 Year Cohort","Count",10
"2012","S01001807","Number In 5 Year Cohort","Count",6
"2013","S01001807","Number In 5 Year Cohort","Count",13
"2013","S01001807","Number Vaccinated Against MMR By 5 Years","Count",13
"2008","S01001807","Number Vaccinated Against MMR By 5 Years","Count",8
"2011","S01001807","Number Vaccinated Against MMR By 5 Years","Count",10
"2012","S01001807","Number Vaccinated Against MMR By 5 Years","Count",6
"2009","S01001807","Number Vaccinated Against MMR By 5 Years","Count",5
"2010","S01001807","Number Vaccinated Against MMR By 5 Years","Count",9
"2012","S01001807","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2010","S01001807","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2013","S01001807","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2011","S01001807","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001807","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2009","S01001807","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001808","Number In 5 Year Cohort","Count",3
"2009","S01001808","Number In 5 Year Cohort","Count",5
"2010","S01001808","Number In 5 Year Cohort","Count",4
"2011","S01001808","Number In 5 Year Cohort","Count",4
"2012","S01001808","Number In 5 Year Cohort","Count",6
"2013","S01001808","Number In 5 Year Cohort","Count",5
"2013","S01001808","Number Vaccinated Against MMR By 5 Years","Count",4
"2008","S01001808","Number Vaccinated Against MMR By 5 Years","Count",2
"2011","S01001808","Number Vaccinated Against MMR By 5 Years","Count",4
"2012","S01001808","Number Vaccinated Against MMR By 5 Years","Count",5
"2009","S01001808","Number Vaccinated Against MMR By 5 Years","Count",5
"2010","S01001808","Number Vaccinated Against MMR By 5 Years","Count",4
"2012","S01001808","Percentage Vaccinated Against Mmr By 5 Years","Ratio","83.3"
"2010","S01001808","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2013","S01001808","Percentage Vaccinated Against Mmr By 5 Years","Ratio",80
"2011","S01001808","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001808","Percentage Vaccinated Against Mmr By 5 Years","Ratio","66.7"
"2009","S01001808","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001809","Number In 5 Year Cohort","Count",15
"2009","S01001809","Number In 5 Year Cohort","Count",13
"2010","S01001809","Number In 5 Year Cohort","Count",19
"2011","S01001809","Number In 5 Year Cohort","Count",17
"2012","S01001809","Number In 5 Year Cohort","Count",14
"2013","S01001809","Number In 5 Year Cohort","Count",20
"2013","S01001809","Number Vaccinated Against MMR By 5 Years","Count",20
"2008","S01001809","Number Vaccinated Against MMR By 5 Years","Count",13
"2011","S01001809","Number Vaccinated Against MMR By 5 Years","Count",17
"2012","S01001809","Number Vaccinated Against MMR By 5 Years","Count",14
"2009","S01001809","Number Vaccinated Against MMR By 5 Years","Count",12
"2010","S01001809","Number Vaccinated Against MMR By 5 Years","Count",18
"2012","S01001809","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2010","S01001809","Percentage Vaccinated Against Mmr By 5 Years","Ratio","94.7"
"2013","S01001809","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2011","S01001809","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001809","Percentage Vaccinated Against Mmr By 5 Years","Ratio","86.7"
"2009","S01001809","Percentage Vaccinated Against Mmr By 5 Years","Ratio","92.3"
"2008","S01001810","Number In 5 Year Cohort","Count",4
"2009","S01001810","Number In 5 Year Cohort","Count",5
"2010","S01001810","Number In 5 Year Cohort","Count",8
"2011","S01001810","Number In 5 Year Cohort","Count",6
"2012","S01001810","Number In 5 Year Cohort","Count",6
"2013","S01001810","Number In 5 Year Cohort","Count",8
"2013","S01001810","Number Vaccinated Against MMR By 5 Years","Count",8
"2008","S01001810","Number Vaccinated Against MMR By 5 Years","Count",4
"2011","S01001810","Number Vaccinated Against MMR By 5 Years","Count",6
"2012","S01001810","Number Vaccinated Against MMR By 5 Years","Count",6
"2009","S01001810","Number Vaccinated Against MMR By 5 Years","Count",4
"2010","S01001810","Number Vaccinated Against MMR By 5 Years","Count",8
"2012","S01001810","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2010","S01001810","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2013","S01001810","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2011","S01001810","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001810","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2009","S01001810","Percentage Vaccinated Against Mmr By 5 Years","Ratio",80
"2008","S01001811","Number In 5 Year Cohort","Count",7
"2009","S01001811","Number In 5 Year Cohort","Count",8
"2010","S01001811","Number In 5 Year Cohort","Count",9
"2011","S01001811","Number In 5 Year Cohort","Count",4
"2012","S01001811","Number In 5 Year Cohort","Count",10
"2013","S01001811","Number In 5 Year Cohort","Count",8
"2013","S01001811","Number Vaccinated Against MMR By 5 Years","Count",8
"2008","S01001811","Number Vaccinated Against MMR By 5 Years","Count",6
"2011","S01001811","Number Vaccinated Against MMR By 5 Years","Count",4
"2012","S01001811","Number Vaccinated Against MMR By 5 Years","Count",10
"2009","S01001811","Number Vaccinated Against MMR By 5 Years","Count",8
"2010","S01001811","Number Vaccinated Against MMR By 5 Years","Count",9
"2012","S01001811","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2010","S01001811","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2013","S01001811","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2011","S01001811","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001811","Percentage Vaccinated Against Mmr By 5 Years","Ratio","85.7"
"2009","S01001811","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001812","Number In 5 Year Cohort","Count",13
"2009","S01001812","Number In 5 Year Cohort","Count",8
"2010","S01001812","Number In 5 Year Cohort","Count",9
"2011","S01001812","Number In 5 Year Cohort","Count",12
"2012","S01001812","Number In 5 Year Cohort","Count",11
"2013","S01001812","Number In 5 Year Cohort","Count",17
"2013","S01001812","Number Vaccinated Against MMR By 5 Years","Count",17
"2008","S01001812","Number Vaccinated Against MMR By 5 Years","Count",13
"2011","S01001812","Number Vaccinated Against MMR By 5 Years","Count",12
"2012","S01001812","Number Vaccinated Against MMR By 5 Years","Count",11
"2009","S01001812","Number Vaccinated Against MMR By 5 Years","Count",8
"2010","S01001812","Number Vaccinated Against MMR By 5 Years","Count",9
"2012","S01001812","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2010","S01001812","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2013","S01001812","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2011","S01001812","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001812","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2009","S01001812","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001813","Number In 5 Year Cohort","Count",4
"2009","S01001813","Number In 5 Year Cohort","Count",1
"2010","S01001813","Number In 5 Year Cohort","Count",7
